employee_id,employee_name,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
EMP00024,Meena Smith,25,Government,99199,Doctorate,13,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,9989,393,33,Philippines,<=50K
EMP00025,Tom Singh,33,Government,96427,Assoc,7,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,8526,2887,28,Germany,<=50K
EMP00026,Raj Fernandez,34,Government,68755,HS-grad,9,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Male,2368,1557,44,Philippines,>50K
EMP00027,Raj Patel,53,Private,15174,Assoc,8,Married,Craft-repair,Unmarried,White,Female,8079,1404,47,United-States,<=50K
EMP00028,Eve Singh,23,Unemployed,47292,HS-grad,2,Separated,Prof-specialty,Own-child,Black,Male,3593,2068,28,Germany,>50K
EMP00029,Tom Kumar,25,Government,20804,HS-grad,2,Divorced,Sales,Own-child,Amer-Indian-Eskimo,Female,5363,3189,24,Germany,>50K
EMP00030,Ali Brown,33,Unemployed,62305,Bachelors,12,Married,Sales,Husband,Amer-Indian-Eskimo,Male,1491,2139,31,India,>50K
EMP00031,Ali Patel,46,Self-emp,29255,Doctorate,6,Divorced,Sales,Husband,Other,Female,4638,2734,34,Mexico,<=50K
EMP00032,Alice Lee,58,Government,97385,Assoc,12,Never-married,Prof-specialty,Unmarried,White,Female,9833,1285,36,Mexico,<=50K
EMP00033,Meena Chen,35,Unemployed,30928,Masters,2,Separated,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,1968,3122,51,Mexico,<=50K
EMP00034,Ali Garcia,21,Government,76576,HS-grad,3,Never-married,Exec-managerial,Unmarried,Other,Male,2997,4017,57,Mexico,>50K
EMP00035,Ali Lee,26,Self-emp,30820,Bachelors,3,Never-married,Tech-support,Own-child,Amer-Indian-Eskimo,Male,3692,3228,23,Mexico,>50K
EMP00036,Meena Chen,47,Private,69525,Doctorate,16,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,1058,854,48,Germany,>50K
EMP00037,Sara Brown,40,Government,60261,Bachelors,5,Separated,Craft-repair,Not-in-family,Other,Female,1530,916,28,Philippines,>50K
EMP00038,Raj Patel,38,Unemployed,55366,Bachelors,5,Married,Exec-managerial,Not-in-family,Other,Male,2553,4000,27,India,<=50K
EMP00039,Priya Brown,43,Private,87960,Doctorate,5,Divorced,Tech-support,Unmarried,Asian-Pac-Islander,Male,4308,2197,54,Germany,>50K
EMP00040,John Garcia,47,Self-emp,58245,Assoc,8,Separated,Craft-repair,Not-in-family,Black,Male,8284,806,39,India,<=50K
EMP00041,Tom Lee,60,Self-emp,32257,Doctorate,7,Married,Exec-managerial,Unmarried,Other,Female,9575,1074,22,Mexico,>50K
EMP00042,Ali Kumar,45,Government,53223,Assoc,14,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,1970,1131,41,United-States,>50K
EMP00043,Alice Nguyen,40,Private,15619,Masters,4,Married,Craft-repair,Wife,Amer-Indian-Eskimo,Male,1895,2131,49,Germany,<=50K
EMP00044,Tom Chen,23,Unemployed,10274,Masters,6,Married,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,4546,4192,43,Germany,<=50K
EMP00045,Raj Kumar,59,Self-emp,24420,HS-grad,5,Never-married,Tech-support,Wife,White,Male,3260,4787,22,Philippines,<=50K
EMP00046,Priya Kumar,42,Self-emp,40509,Assoc,11,Separated,Tech-support,Wife,Amer-Indian-Eskimo,Male,6902,2008,22,Philippines,<=50K
EMP00047,Eve Smith,52,Unemployed,77080,Bachelors,3,Divorced,Craft-repair,Own-child,Black,Female,8463,1628,55,United-States,<=50K
EMP00048,Meena Singh,56,Private,62217,Bachelors,6,Never-married,Tech-support,Wife,Asian-Pac-Islander,Male,1156,2657,20,Philippines,<=50K
EMP00049,Alice Nguyen,39,Government,59120,Assoc,14,Married,Craft-repair,Husband,Other,Female,2088,1133,53,Germany,<=50K
EMP00050,Priya Patel,21,Self-emp,94642,Masters,1,Separated,Sales,Husband,Asian-Pac-Islander,Male,3230,3456,32,Mexico,>50K
EMP00051,Bob Kumar,34,Unemployed,89387,Masters,11,Divorced,Exec-managerial,Husband,Black,Male,2985,1215,57,Mexico,>50K
EMP00052,Tom Brown,21,Private,66951,HS-grad,6,Married,Tech-support,Own-child,Asian-Pac-Islander,Female,2138,1812,42,Philippines,<=50K
EMP00053,Eve Singh,46,Unemployed,83845,Bachelors,13,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,6044,2111,50,Germany,<=50K
EMP00054,John Smith,50,Unemployed,98871,Assoc,7,Married,Exec-managerial,Wife,White,Male,5957,4288,59,Germany,>50K
EMP00055,Raj Brown,52,Government,75209,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,6860,955,47,Philippines,<=50K
EMP00056,Bob Chen,53,Unemployed,86762,Assoc,13,Divorced,Tech-support,Own-child,White,Female,9785,4476,38,Mexico,<=50K
EMP00057,Bob Smith,54,Unemployed,87698,Bachelors,8,Married,Exec-managerial,Not-in-family,Black,Female,9930,3463,44,India,>50K
EMP00058,Raj Garcia,40,Unemployed,41211,Bachelors,8,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,443,4924,30,United-States,<=50K
EMP00059,Meena Fernandez,53,Self-emp,49979,Doctorate,2,Never-married,Tech-support,Unmarried,White,Male,7192,1188,26,Germany,<=50K
EMP00060,John Chen,60,Unemployed,59448,Bachelors,7,Never-married,Exec-managerial,Unmarried,Other,Male,8540,2740,42,Mexico,<=50K
EMP00061,Tom Brown,21,Private,73191,Doctorate,3,Married,Tech-support,Not-in-family,Other,Male,3437,1594,45,India,>50K
EMP00062,Bob Chen,27,Private,22670,Doctorate,12,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Female,8546,1043,47,Philippines,<=50K
EMP00063,Eve Singh,52,Self-emp,27645,Doctorate,15,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,8377,4079,50,United-States,>50K
EMP00064,Raj Smith,41,Private,61200,Masters,3,Separated,Tech-support,Wife,Amer-Indian-Eskimo,Female,899,4790,52,United-States,<=50K
EMP00065,Priya Lee,44,Government,70514,Bachelors,11,Separated,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,3272,952,31,Germany,<=50K
EMP00066,John Lee,35,Private,55294,Doctorate,3,Married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,9495,4884,43,Germany,>50K
EMP00067,Alice Chen,55,Government,22910,Assoc,12,Separated,Tech-support,Unmarried,Asian-Pac-Islander,Female,716,1971,47,Mexico,<=50K
EMP00068,Eve Smith,41,Government,33697,HS-grad,6,Married,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,8133,336,26,Philippines,>50K
EMP00069,John Patel,25,Private,78673,Doctorate,16,Separated,Tech-support,Own-child,Black,Male,5853,3957,36,India,>50K
EMP00070,John Kumar,29,Self-emp,22666,Doctorate,8,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,3562,830,60,Philippines,<=50K
EMP00071,John Brown,36,Private,74047,Masters,2,Married,Sales,Not-in-family,Other,Male,2472,103,45,India,>50K
EMP00072,Bob Fernandez,30,Self-emp,28878,Bachelors,8,Separated,Sales,Not-in-family,Other,Female,6865,2001,51,Philippines,<=50K
EMP00073,Meena Garcia,46,Private,48153,Masters,4,Separated,Sales,Not-in-family,Asian-Pac-Islander,Female,3993,811,21,Philippines,<=50K
EMP00074,Alice Kumar,48,Self-emp,81810,Assoc,2,Married,Sales,Husband,Asian-Pac-Islander,Female,9858,3356,35,United-States,>50K
EMP00075,Alice Singh,49,Self-emp,30891,Doctorate,16,Never-married,Sales,Wife,Other,Male,4615,135,30,United-States,>50K
EMP00076,Alice Lee,50,Unemployed,21130,Masters,12,Divorced,Tech-support,Wife,Amer-Indian-Eskimo,Female,357,4234,55,Philippines,<=50K
EMP00077,Eve Smith,59,Government,25817,Bachelors,8,Married,Prof-specialty,Not-in-family,Black,Male,5169,1886,20,India,>50K
EMP00078,Tom Kumar,25,Self-emp,50576,Assoc,1,Divorced,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,6383,3314,29,India,<=50K
EMP00079,Sara Patel,34,Unemployed,18589,Bachelors,5,Divorced,Craft-repair,Wife,Other,Male,450,1838,49,Philippines,>50K
EMP00080,Sara Garcia,21,Self-emp,87643,Doctorate,5,Never-married,Tech-support,Own-child,Amer-Indian-Eskimo,Female,622,3611,50,United-States,>50K
EMP00081,Eve Lee,43,Self-emp,58734,Doctorate,14,Separated,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,2593,4540,51,India,>50K
EMP00082,Priya Chen,25,Private,12445,HS-grad,16,Never-married,Sales,Not-in-family,White,Male,2018,465,32,Germany,>50K
EMP00083,Priya Brown,28,Government,20393,Bachelors,4,Separated,Craft-repair,Husband,White,Male,6384,4178,53,India,>50K
EMP00084,Priya Nguyen,42,Private,46844,Masters,16,Divorced,Exec-managerial,Husband,Black,Female,821,1265,33,United-States,>50K
EMP00085,Tom Lee,44,Unemployed,96090,HS-grad,16,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Male,9288,2437,20,United-States,>50K
EMP00086,Bob Nguyen,22,Private,31920,Masters,2,Never-married,Sales,Unmarried,White,Male,5584,2909,33,United-States,<=50K
EMP00087,John Chen,46,Private,37873,Bachelors,7,Divorced,Sales,Husband,Black,Female,4867,3853,50,India,>50K
EMP00088,Eve Singh,33,Private,42644,Assoc,3,Divorced,Sales,Not-in-family,Black,Male,4561,1136,41,Philippines,>50K
EMP00089,Raj Nguyen,28,Private,66999,Bachelors,14,Divorced,Craft-repair,Own-child,Black,Female,5351,3184,57,Germany,<=50K
EMP00090,Priya Garcia,48,Private,42995,Masters,5,Divorced,Tech-support,Wife,Black,Female,2031,266,57,India,<=50K
EMP00091,John Smith,60,Unemployed,24508,Doctorate,13,Separated,Craft-repair,Wife,Amer-Indian-Eskimo,Female,3454,3764,57,Mexico,>50K
EMP00092,Meena Lee,34,Government,58196,Doctorate,3,Separated,Exec-managerial,Husband,Other,Male,4250,2399,26,Philippines,<=50K
EMP00093,Alice Smith,29,Unemployed,95775,HS-grad,2,Separated,Prof-specialty,Wife,Other,Male,1870,1734,55,United-States,>50K
EMP00094,Eve Singh,45,Self-emp,48201,HS-grad,15,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,5332,1201,35,United-States,<=50K
EMP00095,Raj Garcia,55,Government,37911,Assoc,7,Separated,Sales,Wife,Other,Female,7653,3533,59,Germany,>50K
EMP00096,Sara Kumar,25,Unemployed,88849,Masters,8,Divorced,Craft-repair,Husband,Amer-Indian-Eskimo,Male,9163,3260,43,United-States,>50K
EMP00097,John Patel,38,Government,11223,Bachelors,11,Never-married,Exec-managerial,Unmarried,Black,Male,4015,2,40,Philippines,>50K
EMP00098,Raj Smith,53,Government,48134,Masters,13,Separated,Tech-support,Not-in-family,Asian-Pac-Islander,Male,9133,2421,59,Mexico,<=50K
EMP00099,Bob Garcia,59,Self-emp,97639,Doctorate,6,Divorced,Craft-repair,Wife,White,Female,9555,3320,41,United-States,>50K
EMP00100,Alice Nguyen,46,Unemployed,80568,HS-grad,9,Separated,Tech-support,Unmarried,Black,Male,7266,1536,51,Mexico,<=50K
EMP00101,Ali Brown,36,Private,68490,HS-grad,7,Married,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,5455,4948,20,Philippines,<=50K
EMP00102,Ali Brown,56,Private,10879,Doctorate,5,Never-married,Sales,Unmarried,White,Male,7819,502,50,United-States,>50K
EMP00103,Ali Singh,21,Self-emp,93727,Doctorate,8,Divorced,Craft-repair,Own-child,White,Male,759,853,43,India,>50K
EMP00104,Tom Fernandez,54,Self-emp,84865,Doctorate,16,Separated,Sales,Unmarried,White,Male,5317,4475,58,India,>50K
EMP00105,Alice Singh,45,Self-emp,56143,Assoc,1,Separated,Prof-specialty,Husband,Black,Male,7120,3527,35,Germany,>50K
EMP00106,Sara Fernandez,40,Private,44630,HS-grad,16,Never-married,Sales,Unmarried,Amer-Indian-Eskimo,Female,8295,3631,27,Germany,<=50K
EMP00107,Raj Chen,50,Government,44716,Doctorate,1,Separated,Prof-specialty,Wife,White,Male,3094,4211,22,Philippines,>50K
EMP00108,Raj Chen,26,Private,70309,Bachelors,10,Married,Sales,Unmarried,Amer-Indian-Eskimo,Male,4764,2879,52,Philippines,>50K
EMP00109,Eve Patel,24,Private,39537,Doctorate,10,Married,Craft-repair,Wife,Asian-Pac-Islander,Male,3133,558,47,United-States,>50K
EMP00110,Meena Lee,42,Private,40659,Bachelors,8,Divorced,Prof-specialty,Unmarried,White,Female,6783,3460,43,Germany,>50K
EMP00111,Eve Singh,59,Private,51205,HS-grad,7,Never-married,Tech-support,Own-child,Amer-Indian-Eskimo,Female,8706,2465,42,United-States,>50K
EMP00112,Bob Singh,29,Unemployed,72987,Assoc,2,Separated,Tech-support,Wife,White,Male,1282,3024,23,Germany,<=50K
EMP00113,Bob Garcia,45,Unemployed,14574,Masters,13,Never-married,Tech-support,Not-in-family,Black,Male,6382,2007,25,India,<=50K
EMP00114,Alice Brown,57,Unemployed,65589,Doctorate,5,Separated,Prof-specialty,Unmarried,Other,Male,8060,1226,55,Philippines,<=50K
EMP00115,Ali Patel,56,Self-emp,99333,HS-grad,16,Separated,Sales,Husband,Black,Male,140,15,25,India,>50K
EMP00116,Raj Garcia,50,Government,24567,Masters,14,Separated,Prof-specialty,Wife,Asian-Pac-Islander,Male,6640,897,47,Mexico,<=50K
EMP00117,John Singh,58,Government,62255,Bachelors,16,Separated,Exec-managerial,Not-in-family,White,Female,2728,1325,26,Philippines,>50K
EMP00118,Alice Patel,40,Self-emp,84160,Masters,8,Divorced,Exec-managerial,Husband,Other,Male,3966,1279,39,United-States,<=50K
EMP00119,John Lee,33,Private,44997,Doctorate,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,390,908,52,India,<=50K
EMP00120,Ali Fernandez,27,Private,71155,Masters,8,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Female,5599,4602,30,United-States,<=50K
EMP00121,Meena Smith,41,Unemployed,56029,Doctorate,15,Married,Sales,Wife,Amer-Indian-Eskimo,Male,9086,1822,21,Mexico,<=50K
EMP00122,Tom Garcia,20,Unemployed,66780,Masters,16,Divorced,Tech-support,Not-in-family,Other,Female,6249,4297,21,Mexico,>50K
EMP00123,Meena Brown,24,Self-emp,42640,Bachelors,13,Never-married,Exec-managerial,Husband,Black,Female,1212,1043,40,United-States,<=50K
EMP00124,Sara Patel,54,Self-emp,14738,Doctorate,16,Separated,Craft-repair,Wife,Amer-Indian-Eskimo,Female,7372,3175,24,Mexico,<=50K
EMP00125,Raj Chen,39,Unemployed,30735,HS-grad,12,Divorced,Prof-specialty,Own-child,Black,Male,2494,1988,57,United-States,<=50K
EMP00126,Alice Nguyen,44,Private,72241,Assoc,16,Separated,Tech-support,Unmarried,Asian-Pac-Islander,Male,9661,4610,56,Mexico,<=50K
EMP00127,Tom Singh,60,Unemployed,38105,HS-grad,13,Divorced,Prof-specialty,Not-in-family,Black,Male,425,2089,43,Germany,<=50K
EMP00128,Sara Garcia,31,Unemployed,92898,Assoc,3,Separated,Prof-specialty,Own-child,Other,Male,3235,4109,44,Germany,<=50K
EMP00129,Alice Patel,23,Unemployed,95779,Masters,4,Never-married,Sales,Not-in-family,White,Female,4073,4449,32,Mexico,>50K
EMP00130,Bob Kumar,50,Private,85884,Masters,14,Divorced,Craft-repair,Not-in-family,White,Male,4988,4342,28,India,>50K
EMP00131,Alice Kumar,38,Self-emp,60500,Bachelors,1,Divorced,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,5476,4665,26,Philippines,>50K
EMP00132,Meena Kumar,28,Self-emp,58667,HS-grad,1,Married,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,6280,2702,41,Philippines,<=50K
EMP00133,Raj Singh,28,Government,35859,Bachelors,1,Separated,Craft-repair,Husband,White,Male,4069,1570,54,Philippines,>50K
EMP00134,Sara Singh,37,Government,21121,Bachelors,7,Divorced,Craft-repair,Unmarried,Asian-Pac-Islander,Female,9179,3720,54,Philippines,<=50K
EMP00135,Eve Kumar,53,Self-emp,20086,HS-grad,16,Married,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,5167,70,32,Germany,>50K
EMP00136,Tom Smith,34,Unemployed,59380,Masters,13,Divorced,Exec-managerial,Husband,Black,Female,6229,1829,47,United-States,<=50K
EMP00137,Ali Garcia,24,Unemployed,12047,Masters,2,Divorced,Sales,Own-child,Other,Female,2101,2899,31,United-States,<=50K
EMP00138,Raj Nguyen,41,Private,47332,Doctorate,15,Never-married,Craft-repair,Wife,White,Female,243,3674,53,Mexico,>50K
EMP00139,John Patel,58,Government,24906,Bachelors,7,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Female,9,1161,38,United-States,>50K
EMP00140,Alice Chen,45,Unemployed,60351,Masters,14,Separated,Craft-repair,Husband,Other,Male,6392,4863,51,Germany,<=50K
EMP00141,Meena Kumar,35,Government,28568,Masters,15,Never-married,Tech-support,Husband,White,Male,7415,2273,56,United-States,<=50K
EMP00142,Meena Smith,33,Private,69802,HS-grad,10,Divorced,Prof-specialty,Wife,Black,Male,1493,3891,58,United-States,>50K
EMP00143,Priya Chen,40,Government,37657,HS-grad,10,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Male,1091,2829,56,Germany,<=50K
EMP00144,Raj Garcia,34,Private,31703,Doctorate,12,Separated,Prof-specialty,Husband,White,Female,5601,2079,60,Philippines,>50K
EMP00145,Ali Kumar,42,Self-emp,97394,Bachelors,3,Separated,Tech-support,Husband,Other,Female,2331,2808,56,Philippines,>50K
EMP00146,Alice Chen,41,Private,38167,Assoc,13,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,5684,2241,42,India,>50K
EMP00147,Eve Kumar,32,Unemployed,67146,Bachelors,10,Never-married,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,7350,3401,46,India,>50K
EMP00148,Bob Singh,28,Private,58850,Bachelors,1,Separated,Craft-repair,Husband,Amer-Indian-Eskimo,Female,4608,3792,52,Philippines,<=50K
EMP00149,Tom Brown,49,Self-emp,68121,Bachelors,14,Never-married,Craft-repair,Wife,Amer-Indian-Eskimo,Male,6866,3053,24,India,>50K
EMP00150,Raj Nguyen,32,Unemployed,60669,HS-grad,1,Separated,Sales,Wife,Asian-Pac-Islander,Male,762,3213,54,Philippines,>50K
EMP00151,John Nguyen,42,Private,53465,Assoc,1,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Female,5483,4888,45,India,<=50K
EMP00152,Priya Lee,27,Private,73142,Bachelors,15,Never-married,Prof-specialty,Husband,Black,Male,7867,4549,48,Mexico,<=50K
EMP00153,Eve Smith,33,Self-emp,55606,Doctorate,5,Divorced,Exec-managerial,Unmarried,Other,Male,9696,679,59,Mexico,>50K
EMP00154,Sara Chen,47,Government,41702,Doctorate,10,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,715,2434,49,Germany,<=50K
EMP00155,Ali Brown,33,Self-emp,25275,Masters,6,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,8062,2743,52,Germany,>50K
EMP00156,John Lee,28,Government,46068,Masters,5,Separated,Prof-specialty,Wife,Asian-Pac-Islander,Male,4079,3734,21,United-States,<=50K
EMP00157,Raj Brown,58,Unemployed,39930,Masters,8,Never-married,Sales,Husband,White,Male,176,1514,37,India,<=50K
EMP00158,Raj Garcia,49,Private,90187,Doctorate,15,Divorced,Sales,Husband,Amer-Indian-Eskimo,Female,9360,3125,33,Philippines,>50K
EMP00159,Raj Brown,53,Self-emp,47255,Bachelors,4,Separated,Exec-managerial,Unmarried,White,Female,5706,4683,44,Mexico,>50K
EMP00160,Ali Fernandez,36,Private,82341,HS-grad,14,Separated,Exec-managerial,Wife,White,Male,9136,1133,54,Philippines,<=50K
EMP00161,Bob Nguyen,40,Government,13442,Masters,11,Separated,Exec-managerial,Wife,Black,Male,3732,163,28,Philippines,>50K
EMP00162,Bob Chen,36,Private,36321,Assoc,14,Divorced,Craft-repair,Unmarried,Other,Male,5374,1310,33,United-States,>50K
EMP00163,John Singh,53,Government,86559,Bachelors,11,Married,Sales,Wife,White,Female,9002,873,30,United-States,<=50K
EMP00164,Raj Fernandez,25,Self-emp,57806,Masters,16,Married,Prof-specialty,Own-child,Black,Male,969,101,60,Philippines,<=50K
EMP00165,Eve Lee,52,Self-emp,88719,Bachelors,14,Married,Tech-support,Wife,Other,Female,6034,4152,37,Philippines,>50K
EMP00166,Tom Garcia,46,Unemployed,70665,HS-grad,1,Married,Exec-managerial,Not-in-family,White,Male,114,2108,29,India,<=50K
EMP00167,Eve Brown,24,Self-emp,97662,HS-grad,5,Married,Tech-support,Not-in-family,Other,Male,2678,4809,58,Philippines,>50K
EMP00168,Priya Brown,38,Unemployed,68183,Assoc,8,Never-married,Tech-support,Wife,Asian-Pac-Islander,Male,4700,4381,29,United-States,<=50K
EMP00169,Sara Chen,22,Government,79898,Assoc,10,Never-married,Tech-support,Own-child,Other,Male,9623,4130,25,Mexico,>50K
EMP00170,Meena Smith,41,Private,75680,HS-grad,7,Divorced,Craft-repair,Wife,White,Male,8556,605,56,India,>50K
EMP00171,Meena Fernandez,40,Self-emp,19848,Doctorate,15,Separated,Tech-support,Not-in-family,White,Male,3451,71,54,Philippines,>50K
EMP00172,Eve Chen,56,Unemployed,44666,Masters,11,Never-married,Tech-support,Wife,Black,Female,2037,1094,33,India,>50K
EMP00173,Priya Patel,36,Government,16016,Bachelors,16,Separated,Craft-repair,Wife,Amer-Indian-Eskimo,Male,8171,2886,54,United-States,<=50K
EMP00174,Alice Singh,53,Self-emp,48607,Bachelors,11,Married,Sales,Husband,White,Male,5653,4923,29,Mexico,<=50K
EMP00175,Tom Garcia,37,Unemployed,23465,Doctorate,15,Separated,Tech-support,Unmarried,Black,Male,9107,4003,53,India,<=50K
EMP00176,Eve Fernandez,49,Government,86875,Masters,9,Divorced,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,2190,709,36,Philippines,<=50K
EMP00177,Eve Lee,42,Government,44942,Doctorate,3,Divorced,Craft-repair,Wife,Black,Female,3613,2297,41,Mexico,>50K
EMP00178,Alice Chen,38,Government,38212,Bachelors,15,Divorced,Sales,Husband,Amer-Indian-Eskimo,Female,8855,2775,49,India,>50K
EMP00179,John Nguyen,22,Private,48744,HS-grad,2,Separated,Exec-managerial,Husband,Black,Female,588,288,54,India,>50K
EMP00180,Raj Chen,23,Unemployed,96531,HS-grad,9,Never-married,Exec-managerial,Unmarried,Other,Male,8630,4839,45,Philippines,<=50K
EMP00181,John Kumar,32,Government,76123,Bachelors,5,Separated,Prof-specialty,Wife,White,Male,1881,2264,23,United-States,<=50K
EMP00182,John Smith,34,Government,60283,HS-grad,13,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,3392,3524,37,United-States,>50K
EMP00183,Tom Nguyen,34,Government,59228,Doctorate,15,Married,Tech-support,Not-in-family,Black,Female,2584,3844,43,Mexico,<=50K
EMP00184,Eve Garcia,58,Government,30716,Masters,10,Never-married,Craft-repair,Wife,Asian-Pac-Islander,Female,2821,703,48,India,<=50K
EMP00185,Meena Brown,31,Unemployed,89330,Assoc,15,Separated,Tech-support,Own-child,Amer-Indian-Eskimo,Female,9200,3767,22,India,<=50K
EMP00186,Tom Brown,58,Private,20245,Bachelors,3,Never-married,Sales,Not-in-family,White,Male,9209,4141,33,United-States,<=50K
EMP00187,Sara Kumar,49,Self-emp,84497,Assoc,8,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,597,2978,41,Mexico,>50K
EMP00188,Meena Smith,28,Self-emp,91024,Bachelors,15,Married,Prof-specialty,Not-in-family,Black,Female,4300,1276,41,India,<=50K
EMP00189,Alice Brown,44,Unemployed,71969,HS-grad,15,Divorced,Exec-managerial,Own-child,White,Male,7991,2222,58,Philippines,<=50K
EMP00190,Meena Kumar,22,Self-emp,45984,Doctorate,12,Never-married,Sales,Husband,Asian-Pac-Islander,Female,1909,3637,24,Philippines,<=50K
EMP00191,Raj Lee,28,Government,68525,Assoc,2,Married,Tech-support,Wife,Other,Female,426,782,24,United-States,<=50K
